MA_Carbohydrate (wt%),MA_Protein (wt%),MA_Lipid (wt%),MA_Ash (wt%),MA_C (wt%),MA_H (wt%),MA_N (wt%),MA_O (wt%),MA_S (wt%),HTL_Temperature (℃),HTL_Pressure (Mpa),HTL_Time (min),HTL_Concentration (wt%),BC_Yield (wt%)
1.73,45.63,6.2,8.28,48.41,9.01,7.38,33.91,1.29,280,,30,15,43.55
1.73,45.63,6.2,8.28,48.41,9.01,7.38,33.91,1.29,300,,30,15,45.35
1.73,45.63,6.2,8.28,48.41,9.01,7.38,33.91,1.29,320,,30,15,54.11
1.73,45.63,6.2,8.28,48.41,9.01,7.38,33.91,1.29,340,,30,15,41.73
19.08,55.06,20.7,5.16,53.52,7.45,8.81,22.61,0.67,350,16.5,60,23,46.62
15.28,67.44,6.2,11.08,47.49,6.63,10.79,22.48,0.56,350,16.5,60,23,35.2
33.75,15.13,41.6,9.52,61.31,8.65,2.42,16.96,0.74,350,16.5,60,23,52.68
27.65,41.19,21.3,9.86,51.01,7.36,6.59,21.7,0.67,350,16.5,60,23,44.43
15.7,43.8,35.5,4.5,48.7,7.1,6.8,36.5,0.9,320,,10,10,42.35
15.7,43.8,35.5,4.5,48.7,7.1,6.8,36.5,0.9,260,,95,30,29.58
15.7,43.8,35.5,4.5,48.7,7.1,6.8,36.5,0.9,260,,95,30,29.35
15.7,43.8,35.5,4.5,48.7,7.1,6.8,36.5,0.9,260,,95,30,30.73
15.7,43.8,35.5,4.5,48.7,7.1,6.8,36.5,0.9,320,,95,30,38.68
15.7,43.8,35.5,4.5,48.7,7.1,6.8,36.5,0.9,260,,10,30,31.64
15.7,43.8,35.5,4.5,48.7,7.1,6.8,36.5,0.9,260,,95,10,30.2
15.7,43.8,35.5,4.5,48.7,7.1,6.8,36.5,0.9,200,,5,26.7,
15.7,43.8,35.5,4.5,48.7,7.1,6.8,36.5,0.9,200,,120,26.7,
11,53,18,18,46,8,10,35,0.8,310,,15,20,30
11,53,18,18,46,8,10,35,0.8,330,,15,20,32
11,53,18,18,46,8,10,35,0.8,350,,15,20,38
11,53,18,18,46,8,10,35,0.8,370,,15,20,33
10.3,43.2,16.5,25.7,40.8,5.7,6.9,21.4,0.2,300,,30,20,29.7
13,54.5,32.3,5.8,54.6,7.9,8.7,23.3,0.3,300,,30,20,53.6
22.5,28.8,48.1,3.2,59.2,8.8,4.6,24.3,0.1,300,,30,20,63.9
17.4,33.5,50.9,2.5,60.1,8.8,5.4,23.4,0.2,300,,30,20,63.5
19.3,26.9,51.9,3.6,60.3,9.2,4.3,22.8,0.2,300,,30,20,61.1
19.4,24.6,59.1,2.2,62.9,9.3,3.9,21.8,0.1,300,,30,20,66.6
22.8,17.6,60.3,2.2,62.3,9.3,2.8,23.5,0.1,300,,30,20,68.3
7.1,60.7,12.1,6,49.86,7.29,11.3,27.56,3.99,240,,60,16.7,12.4
7.1,60.7,12.1,6,49.86,7.29,11.3,27.56,3.99,280,,60,16.7,26.5
7.1,60.7,12.1,6,49.86,7.29,11.3,27.56,3.99,330,,60,16.7,37.2
23,71,0.1,5.6,51,6.6,11,31.4,0,260,,30,15,34.9
23,71,0.1,5.6,51,6.6,11,31.4,0,260,,30,35,25.7
23,71,0.1,5.6,51,6.6,11,31.4,0,260,,90,15,27.8
23,71,0.1,5.6,51,6.6,11,31.4,0,260,,90,35,25.7
23,71,0.1,5.6,51,6.6,11,31.4,0,300,,30,15,35.6
23,71,0.1,5.6,51,6.6,11,31.4,0,300,,30,35,36.7
23,71,0.1,5.6,51,6.6,11,31.4,0,300,,90,15,29.5
23,71,0.1,5.6,51,6.6,11,31.4,0,300,,90,35,38.4
23,71,0.1,5.6,51,6.6,11,31.4,0,260,,60,25,31.8
23,71,0.1,5.6,51,6.6,11,31.4,0,300,,60,25,39.6
23,71,0.1,5.6,51,6.6,11,31.4,0,280,,60,15,41.7
23,71,0.1,5.6,51,6.6,11,31.4,0,280,,60,35,43.3
23,71,0.1,5.6,51,6.6,11,31.4,0,280,,30,25,34.5
23,71,0.1,5.6,51,6.6,11,31.4,0,280,,90,25,33.3
23,71,0.1,5.6,51,6.6,11,31.4,0,280,,60,25,41.7
23,71,0.1,5.6,51,6.6,11,31.4,0,280,,60,25,42.3
23,71,0.1,5.6,51,6.6,11,31.4,0,280,,60,25,41.2
23,71,0.1,5.6,51,6.6,11,31.4,0,280,,60,25,40.9
23,71,0.1,5.6,51,6.6,11,31.4,0,280,,60,25,42.8
23,71,0.1,5.6,51,6.6,11,31.4,0,280,,60,25,42.7
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,220,,60,10,11
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,250,,60,10,21.4
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,280,,60,10,26.5
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,320,,60,10,32.5
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,350,,60,10,38.6
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,60,10,34.6
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,400,,60,10,33.5
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,320,,10,10,25.3
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,320,,20,10,28.4
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,320,,30,10,32.1
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,320,,40,10,34.5
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,320,,50,10,36.4
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,320,,70,10,29.7
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,10,10,28.5
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,20,10,31.7
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,30,10,33.2
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,40,10,36.6
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,50,10,39.6
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,60,5,32.1
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,60,15,38.2
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,60,20,36.2
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,60,25,37.1
20.01,53.69,7.83,8.11,49.05,6.41,8.59,27.02,0.82,370,,60,30,32.5
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,200,,60,20,18
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,250,,60,20,24.75
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,300,,60,20,29.4
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,350,,60,20,40
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,380,,60,20,36.3
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,350,,30,20,34.9
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,350,,60,20,39.8
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,350,,90,20,34.7
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,350,,120,20,33.7
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,350,,60,10,32.8
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,350,,60,20,40
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,350,,60,30,38.5
31.2,49.23,11.1,6.6,46.87,7,10.75,35.38,0,350,,60,40,41
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,275,,10,20,30.8
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,275,,20,20,32.9
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,275,,30,20,36.2
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,275,,40,20,35.6
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,275,,50,20,35.3
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,275,,60,20,32
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,300,,10,20,34.4
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,300,,20,20,37.5
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,300,,30,20,40.1
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,300,,40,20,39.1
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,300,,50,20,38.5
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,300,,60,20,35.3
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,325,,10,20,34.5
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,325,,20,20,37.7
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,325,,30,20,42.2
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,325,,40,20,41.1
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,325,,50,20,38.9
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,325,,60,20,36.9
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,350,,10,20,32.7
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,350,,20,20,34.8
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,350,,30,20,36.9
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,350,,40,20,36.7
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,350,,50,20,34.1
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,350,,60,20,33.5
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,375,,10,20,30.1
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,375,,20,20,32.8
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,375,,30,20,35.8
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,375,,40,20,32.9
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,375,,50,20,29.4
20,56.4,6,12.54,41.36,6.6,8.46,43.58,0,375,,60,20,29.2
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,280,,30,25,27.93
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,320,,30,25,27.33
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,350,,30,25,26.92
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,350,,15,25,25.51
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,350,,45,25,28.74
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,350,,60,25,29.24
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,350,,30,10,28.34
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,350,,30,20,27.55
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,350,,30,30,25.09
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,420,,5,11,21.21
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,340,,5,2,14.44
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,260,,40,2,19.69
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,420,,40,20,15.07
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,340,,5,20,14.46
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,340,,40,11,28.39
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,260,,40,20,29.72
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,340,,75,20,11.43
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,420,,75,11,9.28
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,340,,40,11,23.25
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,340,,40,11,24.16
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,340,,75,2,9.43
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,260,,5,11,18.74
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,340,,40,11,22.66
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,420,,40,2,26.73
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,260,,75,11,28.51
9.1,52.7,4.5,14.62,50.14,7.62,8.95,31.05,2.24,340,,40,11,25.6
15.7,43.8,35.5,1.5,48.7,7.1,6.8,36.5,0.9,200,,10,10,19.03
15.7,43.8,35.5,1.5,48.7,7.1,6.8,36.5,0.9,320,,10,10,42.35
15.7,43.8,35.5,1.5,48.7,7.1,6.8,36.5,0.9,320,,95,30,29.58
15.7,43.8,35.5,1.5,48.7,7.1,6.8,36.5,0.9,260,,95,30,29.35
15.7,43.8,35.5,1.5,48.7,7.1,6.8,36.5,0.9,260,,95,30,30.73
15.7,43.8,35.5,1.5,48.7,7.1,6.8,36.5,0.9,260,,95,30,14.32
15.7,43.8,35.5,1.5,48.7,7.1,6.8,36.5,0.9,200,,95,30,36.68
15.7,43.8,35.5,1.5,48.7,7.1,6.8,36.5,0.9,260,,10,30,31.64
15.7,43.8,35.5,1.5,48.7,7.1,6.8,36.5,0.9,260,,95,50,31.13
15.7,43.8,35.5,1.5,48.7,7.1,6.8,36.5,0.9,260,,95,10,30.2
44,50,7,7.6,54.4,6.9,7.3,31.4,0,300,,60,10,38.6
20,65,5,7.6,55.7,6.8,11.2,26.4,0.8,300,,60,10,35.5
9,55,25,7,52.6,7.1,8.2,32.2,0.5,300,,60,10,46.6
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,220,,60,10,15.9
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,60,10,23
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,260,,60,10,24.4
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,300,,60,10,31
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,5,10,21.2
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,10,10,22.5
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,20,10,25.6
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,30,10,25.2
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,20,25,25.6
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,20,14.28571429,26.4
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,20,7.692307692,28.7
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,150,,10,3.2,6.5
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,150,,100,3.2,6.5
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,200,,3.2,3.4,10.7
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,200,,31.6,3.4,18.6
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,250,,10,3.6,25.6
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,250,,100,3.6,35.1
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,300,,3.2,4,29.5
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,300,,31.6,4,31.7
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,350,,10,5,30.8
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,350,,100,5,30.8
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,150,,10,11.6,8.6
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,150,,100,11.6,9.8
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,200,,3.2,12.2,9.5
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,200,,31.6,12.2,16.6
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,250,,10,13.1,27.9
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,250,,100,13.1,36.4
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,300,,3.2,14.4,33.9
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,300,,31.6,14.4,34
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,350,,10,17.3,39
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,350,,100,17.3,34.8
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,150,,1,3.2,11.6
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,200,,3.2,3.4,27.4
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,200,,31.6,3.4,35.2
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,300,,3.2,4,42.3
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,300,,31.6,4,40.6
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,350,,100,5,41.2
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,150,,1,11.6,15
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,200,,3.2,12.2,28.3
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,200,,31.6,12.2,33.9
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,300,,3.2,14.4,43.1
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,300,,31.6,14.4,49.4
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,350,,100,17.3,47.9
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,200,,31.6,3.4,5.6
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,300,,3.2,4,28.8
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,300,,31.6,4,34.7
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,200,,3.2,12.2,2.9
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,200,,31.6,12.2,4.4
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,300,,3.2,14.4,30.5
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,300,,31.6,14.4,38.2
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,150,,10,3.2,5.1
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,150,,100,3.2,20.8
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,200,,31.6,3.4,22.2
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,250,,1,3.6,19.6
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,250,,10,3.6,22.8
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,250,,100,3.6,29.1
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,300,,3.2,4,35
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,300,,31.6,4,34.6
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,1,5,32.6
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,10,5,33.9
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,100,5,30.3
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,150,,10,11.6,3.4
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,150,,100,11.6,13.3
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,200,,3.2,12.2,17.5
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,250,,100,13.1,25.9
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,300,,3.2,14.4,33.5
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,300,,31.6,14.4,36.7
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,1,17.3,34
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,10,17.3,39.4
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,100,17.3,36.4
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,300,,3.2,4,18.3
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,300,,31.6,4,20.1
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,350,,100,5,18.5
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,150,,1,11.6,1.3
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,200,,3.2,12.2,3.4
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,200,,31.6,12.2,6
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,300,,3.2,14.4,21.1
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,300,,31.6,14.4,22.6
11.9,12.4,26,21,36.98,5.97,7.79,26.97,1.29,275,,30,10,14.04
11.9,12.4,26,21,36.98,5.97,7.79,26.97,1.29,300,,30,10,20.01
11.9,12.4,26,21,36.98,5.97,7.79,26.97,1.29,325,,30,10,29.6
11.9,12.4,26,21,36.98,5.97,7.79,26.97,1.29,350,,30,10,26.1
16.92,61.31,5.87,11.3,43.24,6.7,9.81,40.25,0,180,,30,9.09,5.08
16.92,61.31,5.87,11.3,43.24,6.7,9.81,40.25,0,200,,30,9.09,7.31
16.92,61.31,5.87,11.3,43.24,6.7,9.81,40.25,0,220,,30,9.09,9.44
16.92,61.31,5.87,11.3,43.24,6.7,9.81,40.25,0,240,,30,9.09,11.58
16.92,61.31,5.87,11.3,43.24,6.7,9.81,40.25,0,260,,30,9.09,16.12
19.65,55.38,13.77,7,47.23,6.8,8.86,37.11,0,180,,30,9.09,15.59
19.65,55.38,13.77,7,47.23,6.8,8.86,37.11,0,200,,30,9.09,15.9
19.65,55.38,13.77,7,47.23,6.8,8.86,37.11,0,220,,30,9.09,17.46
19.65,55.38,13.77,7,47.23,6.8,8.86,37.11,0,240,,30,9.09,19.78
19.65,55.38,13.77,7,47.23,6.8,8.86,37.11,0,260,,30,9.09,23.7
27.96,39.31,19.93,9.1,49.27,7.27,6.29,37.17,0,180,,30,9.09,20.4
27.96,39.31,19.93,9.1,49.27,7.27,6.29,37.17,0,200,,30,9.09,22.49
27.96,39.31,19.93,9.1,49.27,7.27,6.29,37.17,0,220,,30,9.09,23.61
27.96,39.31,19.93,9.1,49.27,7.27,6.29,37.17,0,240,,30,9.09,25.35
27.96,39.31,19.93,9.1,49.27,7.27,6.29,37.17,0,260,,30,9.09,25.7
31.85,16.38,41.57,7,52.13,7.24,2.62,38.01,0,180,,30,9.09,42.09
31.85,16.38,41.57,7,52.13,7.24,2.62,38.01,0,200,,30,9.09,43.21
31.85,16.38,41.57,7,52.13,7.24,2.62,38.01,0,220,,30,9.09,42.09
31.85,16.38,41.57,7,52.13,7.24,2.62,38.01,0,240,,30,9.09,44.19
31.85,16.38,41.57,7,52.13,7.24,2.62,38.01,0,260,,30,9.09,43.3
30.44,12.38,45.98,7.4,56.03,8.28,1.98,33.71,0,180,,30,9.09,49.71
30.44,12.38,45.98,7.4,56.03,8.28,1.98,33.71,0,200,,30,9.09,50.24
30.44,12.38,45.98,7.4,56.03,8.28,1.98,33.71,0,220,,30,9.09,50.42
30.44,12.38,45.98,7.4,56.03,8.28,1.98,33.71,0,240,,30,9.09,50.6
30.44,12.38,45.98,7.4,56.03,8.28,1.98,33.71,0,260,,30,9.09,50.65
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,250,,10,20,20.98
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,250,,20,20,24.48
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,250,,30,20,30.71
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,250,,40,20,34.33
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,250,,60,20,34.17
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,300,,10,20,28.22
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,300,,20,20,33.7
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,300,,30,20,35.7
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,300,,40,20,41.59
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,300,,60,20,40.94
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,350,,10,20,45.42
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,350,,20,20,42.37
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,350,,30,20,44.98
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,350,,40,20,46.06
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,350,,60,20,44.15
20,59,14,7,52.35,7.27,8.88,24.6,0.66,200,,6.833333333,15,12
20,59,14,7,52.35,7.27,8.88,24.6,0.66,200,,14.66666667,15,18
20,59,14,7,52.35,7.27,8.88,24.6,0.66,200,,39.66666667,15,23
20,59,14,7,52.35,7.27,8.88,24.6,0.66,250,,1.333333333,15,12
20,59,14,7,52.35,7.27,8.88,24.6,0.66,250,,4.833333333,15,24
20,59,14,7,52.35,7.27,8.88,24.6,0.66,250,,19.75,15,33
20,59,14,7,52.35,7.27,8.88,24.6,0.66,250,,59.83333333,15,41
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,0.25,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,0.416666667,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,0.583333333,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,1.25,15,18
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,1.75,15,26
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,3.166666667,15,39
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,8,15,42
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,14.83333333,15,43
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,39.66666667,15,38
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,0.166666667,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,1.166666667,15,27
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,2.083333333,15,37
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,4.333333333,15,42
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,6.666666667,15,40
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,9,15,43
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,24.66666667,15,42
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,59.75,15,39
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,0.25,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,0.416666667,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,0.833333333,15,25
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,1.5,15,38
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,2.083333333,15,40
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,3.416666667,15,45
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,5.833333333,15,40
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,8.166666667,15,43
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,14.83333333,15,36
